codeno,location,concat_date_time_in,concat_date_time_out,time_diff,day,total_space,color_value
1,"(2.977264, 79.929227)",1/25/2021 5:30,1/25/2021 5:35,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:32,1/25/2021 5:58,26,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:32,1/25/2021 5:57,25,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:33,1/25/2021 5:38,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:35,1/25/2021 5:52,17,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:35,1/25/2021 5:36,1,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:35,1/25/2021 6:17,42,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:36,1/25/2021 5:41,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:36,1/25/2021 5:46,10,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:37,1/25/2021 6:31,54,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:37,1/25/2021 5:57,20,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:37,1/25/2021 5:57,20,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:39,1/25/2021 5:47,8,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:40,1/25/2021 6:01,21,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:40,1/25/2021 5:43,3,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:40,1/25/2021 6:06,26,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:43,1/25/2021 5:55,12,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:43,1/25/2021 5:49,6,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:44,1/25/2021 5:56,12,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:44,1/25/2021 5:59,15,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:46,1/25/2021 6:16,30,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:46,1/25/2021 6:16,30,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:47,1/25/2021 6:02,15,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:48,1/25/2021 6:54,66,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:48,1/25/2021 6:03,15,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:49,1/25/2021 5:55,6,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:51,1/25/2021 6:07,16,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:52,1/25/2021 6:09,17,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:53,1/25/2021 5:58,5,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:54,1/25/2021 6:01,7,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:55,1/25/2021 6:12,17,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:57,1/25/2021 6:00,3,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:57,1/25/2021 6:32,35,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:59,1/25/2021 6:02,3,M,140,452600
1,"(2.977264, 79.929227)",1/25/2021 5:59,1/25/2021 6:39,40,M,140,452600
